Record ID,Shipment ID,Shipdate,Vendor ID,O_COUNTRY,ORIG,ORIG_ZIP,D_COUNTRY,DEST,DEST_ZIP,Equipment Type,Cost,Weight,Mileage
9503,134795,10/23/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,FB,0,0,0
9504,15747,10/14/2019,68,MX,NL SAN PEDRO,66269,MX,EM CUAUTITLAN,54713,DV,1948,0,627
9505,P2996,10/23/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,134,0,14
9506,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,7,0,14
9507,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,7,0,0
9508,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,1,0,0
9509,4368,2/26/2020,21,MX,NL APODACA,66600,MX,NL MONTERREY,64000,DV,75,1,18
9510,4407,2/21/2020,21,MX,NL APODACA,66600,MX,SL SAN LUIS POTOSI,78049,DV,493,1,331
9511,4416,2/10/2020,21,MX,NL APODACA,66600,MX,BJ TIJUANA,22250,DV,2122,1,1450
9512,P2998,10/23/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,268,0,14
9513,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,12,0,0
9514,P2999,10/23/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,1,0,0
9515,4370,2/27/2020,21,MX,NL APODACA,66600,MX,NL APODACA,66600,DV,52,1,107
9516,4371,2/28/2020,21,MX,NL APODACA,66600,MX,NL MONTERREY,64250,DV,93,1,18
9517,59519,12/27/2019,10,MX,TM NUEVO LAREDO,88060,MX,NL GUADALUPE,66708,SD,1421,9801,319
9518,59520,12/27/2019,10,MX,NUEVO LAREDO,88060,MX,GUADALUPE,66708,SD,0,0,0
